INFO:2019-11-02 11:23:10,427:scp md file status: 
INFO:2019-11-02 11:23:17,084:scp html file status: 
INFO:2019-11-02 11:23:25,274:scp post_list.json status: 
INFO:2019-11-02 11:23:31,930:exec remote.py status: 
INFO:2019-11-02 11:25:02,045:use new 'game_重点攻关项目'
INFO:2019-11-02 11:25:09,921:scp md file status: 
INFO:2019-11-02 11:25:11,946:local.py is running, exit
INFO:2019-11-02 11:25:18,126:scp html file status: 
INFO:2019-11-02 11:25:18,131:use new 'game'
INFO:2019-11-02 11:25:24,733:scp md file status: 
INFO:2019-11-02 11:25:32,352:scp html file status: 
INFO:2019-11-02 11:25:39,417:scp post_list.json status: 
INFO:2019-11-02 11:25:45,350:exec remote.py status: 
INFO:2019-11-02 11:28:02,516:use new 'game_重点攻关项目'
INFO:2019-11-02 11:28:10,348:scp md file status: 
INFO:2019-11-02 11:28:17,522:scp html file status: 
INFO:2019-11-02 11:28:17,526:use new 'game_练习项目'
INFO:2019-11-02 11:28:19,356:local.py is running, exit
INFO:2019-11-02 11:28:24,377:scp md file status: 
INFO:2019-11-02 11:28:31,289:scp html file status: 
INFO:2019-11-02 11:28:31,296:use new 'game'
INFO:2019-11-02 11:28:38,403:scp md file status: 
INFO:2019-11-02 11:28:45,380:scp html file status: 
INFO:2019-11-02 11:28:52,544:scp post_list.json status: 
INFO:2019-11-02 11:28:58,458:exec remote.py status: 
INFO:2019-11-02 12:30:02,469:use new 'game'
INFO:2019-11-02 12:30:11,125:scp md file status: 
INFO:2019-11-02 12:30:17,555:scp html file status: 
INFO:2019-11-02 12:30:24,926:scp post_list.json status: 
INFO:2019-11-02 12:30:30,323:exec remote.py status: 
INFO:2019-11-02 12:36:02,976:use new 'game'
INFO:2019-11-02 12:36:10,971:scp md file status: 
INFO:2019-11-02 12:36:17,365:scp html file status: 
INFO:2019-11-02 12:36:23,655:scp post_list.json status: 
INFO:2019-11-02 12:36:30,343:exec remote.py status: 
INFO:2019-11-02 12:54:03,015:use new 'game'
INFO:2019-11-02 12:54:11,464:scp md file status: 
INFO:2019-11-02 12:54:18,098:scp html file status: 
INFO:2019-11-02 12:54:24,904:scp post_list.json status: 
INFO:2019-11-02 12:54:31,221:exec remote.py status: 
INFO:2019-11-02 12:56:02,723:use new 'game'
INFO:2019-11-02 12:56:10,723:scp md file status: 
INFO:2019-11-02 12:56:17,328:scp html file status: 
INFO:2019-11-02 12:56:24,024:scp post_list.json status: 
INFO:2019-11-02 12:56:30,182:exec remote.py status: 
INFO:2019-11-02 12:57:02,630:use new 'game'
INFO:2019-11-02 12:57:11,131:scp md file status: 
INFO:2019-11-02 12:57:18,508:scp html file status: 
INFO:2019-11-02 12:57:27,105:scp post_list.json status: 
INFO:2019-11-02 12:57:32,842:exec remote.py status: 
INFO:2019-11-02 19:28:31,972:use new 'study_structure'
INFO:2019-11-02 19:28:41,238:scp md file status: 
INFO:2019-11-02 19:28:52,118:scp html file status: 
INFO:2019-11-02 19:29:04,164:scp post_list.json status: 
INFO:2019-11-02 19:29:12,474:exec remote.py status: 
INFO:2019-11-02 21:03:30,409:use new 'Signal_and_System'
INFO:2019-11-02 21:03:38,600:scp md file status: 
INFO:2019-11-02 21:03:47,298:scp html file status: 
INFO:2019-11-02 21:04:02,966:scp post_list.json status: 
INFO:2019-11-02 21:04:25,287:exec remote.py status: 
INFO:2019-11-02 21:09:33,739:use new 'Signal_and_System'
INFO:2019-11-02 21:09:49,488:scp md file status: 
INFO:2019-11-02 21:09:59,525:scp html file status: 
INFO:2019-11-02 21:10:13,140:scp post_list.json status: 
INFO:2019-11-02 21:10:26,789:exec remote.py status: 
INFO:2019-11-02 23:30:03,407:use new 'game'
INFO:2019-11-02 23:30:15,461:scp md file status: 
INFO:2019-11-02 23:30:23,589:scp html file status: 
INFO:2019-11-02 23:30:33,799:scp post_list.json status: 
INFO:2019-11-02 23:30:41,458:exec remote.py status: rm game_练习项目
INFO:2019-11-02 23:43:02,908:use new 'godot'
INFO:2019-11-02 23:43:13,910:scp md file status: 
INFO:2019-11-02 23:43:21,000:scp html file status: 
INFO:2019-11-02 23:43:31,926:scp post_list.json status: 
INFO:2019-11-02 23:43:39,302:exec remote.py status: 
INFO:2019-11-02 23:56:02,380:use new 'game'
INFO:2019-11-02 23:56:14,630:scp md file status: 
INFO:2019-11-02 23:56:22,598:scp html file status: 
INFO:2019-11-02 23:56:30,473:scp post_list.json status: 
INFO:2019-11-02 23:56:39,570:exec remote.py status: 
INFO:2019-11-03 00:00:41,737:use new 'godot'
INFO:2019-11-03 00:00:51,773:scp md file status: 
INFO:2019-11-03 00:00:59,824:scp html file status: 
INFO:2019-11-03 00:00:59,831:use new 'game'
INFO:2019-11-03 00:01:02,471:local.py is running, exit
INFO:2019-11-03 00:01:08,758:scp md file status: 
INFO:2019-11-03 00:01:18,021:scp html file status: 
INFO:2019-11-03 00:01:28,395:scp post_list.json status: 
INFO:2019-11-03 00:01:36,003:exec remote.py status: 
INFO:2019-11-03 00:06:04,290:use new 'game'
INFO:2019-11-03 00:06:12,843:scp md file status: 
INFO:2019-11-03 00:06:20,734:scp html file status: 
INFO:2019-11-03 00:06:31,230:scp post_list.json status: 
INFO:2019-11-03 00:06:36,547:exec remote.py status: 
INFO:2019-11-03 00:06:40,598:use new 'game'
INFO:2019-11-03 00:06:48,521:scp md file status: 
INFO:2019-11-03 00:06:58,095:scp html file status: 
INFO:2019-11-03 00:07:07,430:scp post_list.json status: 
INFO:2019-11-03 00:07:18,410:exec remote.py status: 
INFO:2019-11-03 00:09:54,432:use new 'game'
INFO:2019-11-03 00:10:02,092:local.py is running, exit
INFO:2019-11-03 00:10:05,675:scp md file status: 
INFO:2019-11-03 00:10:15,305:scp html file status: 
INFO:2019-11-03 00:10:24,745:scp post_list.json status: 
INFO:2019-11-03 00:10:33,445:exec remote.py status: 
INFO:2019-11-03 11:20:02,586:use new 'sex'
INFO:2019-11-03 11:20:11,284:scp md file status: 
INFO:2019-11-03 11:20:18,450:scp html file status: 
INFO:2019-11-03 11:20:25,523:scp post_list.json status: 
INFO:2019-11-03 11:20:31,104:exec remote.py status: 
INFO:2019-11-03 11:30:02,481:use new 'study_ability'
INFO:2019-11-03 11:30:09,793:scp md file status: 
INFO:2019-11-03 11:30:16,880:scp html file status: 
INFO:2019-11-03 11:30:23,946:scp post_list.json status: 
INFO:2019-11-03 11:30:29,660:exec remote.py status: 
INFO:2019-11-03 11:33:02,893:use new 'think_structure'
INFO:2019-11-03 11:33:11,484:scp md file status: 
INFO:2019-11-03 11:33:19,676:scp html file status: 
INFO:2019-11-03 11:33:19,679:use new 'think_ability'
INFO:2019-11-03 11:33:26,366:scp md file status: 
INFO:2019-11-03 11:33:33,195:scp html file status: 
INFO:2019-11-03 11:33:41,384:scp post_list.json status: 
INFO:2019-11-03 11:33:46,970:exec remote.py status: 
INFO:2019-11-04 10:03:02,669:use new 'DTV'
INFO:2019-11-04 10:03:07,155:scp md file status: 
INFO:2019-11-04 10:03:10,296:scp html file status: 
INFO:2019-11-04 10:03:13,110:scp post_list.json status: 
INFO:2019-11-04 10:03:15,073:exec remote.py status: 
INFO:2019-11-04 11:06:03,021:use new 'DTV'
INFO:2019-11-04 11:06:06,471:scp md file status: 
INFO:2019-11-04 11:06:09,530:scp html file status: 
INFO:2019-11-04 11:06:12,775:scp post_list.json status: 
INFO:2019-11-04 11:06:15,567:exec remote.py status: 
INFO:2019-11-04 11:08:03,546:use new 'DTV'
INFO:2019-11-04 11:08:07,598:scp md file status: 
INFO:2019-11-04 11:08:11,788:scp html file status: 
INFO:2019-11-04 11:08:15,615:scp post_list.json status: 
INFO:2019-11-04 11:08:19,058:exec remote.py status: 
INFO:2019-11-04 11:14:03,118:use new 'DTV'
INFO:2019-11-04 11:14:07,077:scp md file status: 
INFO:2019-11-04 11:14:10,995:scp html file status: 
INFO:2019-11-04 11:14:14,578:scp post_list.json status: 
INFO:2019-11-04 11:14:17,746:exec remote.py status: 
INFO:2019-11-04 11:15:03,731:use new 'DTV'
